Zip Code,City
95971,QUINCY
95973,CHICO
95987,WILLIAMS
95988,WILLOWS
95991,YUBA CITY
95993,YUBA CITY
96001,REDDING
96002,REDDING
96003,REDDING
96007,ANDERSON
96009,BIEBER
96013,BURNEY
96019,SHASTA LAKE
96020,CHESTER
96021,CORNING
96022,COTTONWOOD
96027,ETNA
96028,FALL RIVER MILLS
96032,FORT JONES
96039,HAPPY CAMP
96041,HAYFORK
96052,LEWISTON
96055,LOS MOLINOS
96056,MCARTHUR
96062,MILLVILLE
96064,MONTAGUE
96067,MOUNT SHASTA
96073,PALO CEDRO
96080,RED BLUFF
96088,SHINGLETOWN
96093,WEAVERVILLE
96094,WEED
96097,YREKA
96101,ALTURAS
96103,GRAEAGLE
96118,LOYALTON
96120,MARKLEEVILLE
96122,PORTOLA
96129,BECKWOURTH
96130,SUSANVILLE
96137,WESTWOOD
96143,KINGS BEACH
96145,TAHOE CITY
96146,OLYMPIC VALLEY
96150,SOUTH LAKE TAHOE
96161,TRUCKEE
96162,TRUCKEE
